Date,Qom,Tehran,Mazandaran,Alborz,Semnan,Golestan,Qazvin,Isfahan,Fars,Hormozgan,Kohgiluyeh and Boyer-Ahmad,Chaharmahal and Bakhtiari,Bushehr,Gilan,Ardabil,East Azerbaijan,West Azerbaijan,Kordestan,Zanjan,Markazi,Hamadan,Khuzestan,Kermanshah,Lorestan,Ilam,Razavi Khorasan,Sistan and Baluchestan,Yazd,South Khorasan,Kerman,North Khorasan
2020-02-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,7,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,7,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,8,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2020-02-25,16,8,2,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-02-26,15,4,1,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,2,0,0,0,0
2020-02-27,7,38,7,3,3,0,0,8,0,0,0,0,0,23,5,2,1,1,0,0,1,0,2,3,0,1,0,1,0,0,0
2020-02-28,16,64,9,3,2,2,2,10,0,0,0,0,0,25,1,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-02-29,21,52,12,8,4,22,6,12,8,0,0,0,0,17,3,6,0,5,0,18,0,4,0,0,1,0,1,4,1,0,0
2020-03-01,30,170,11,31,3,0,0,13,8,2,0,0,0,28,0,0,0,0,0,44,3,9,2,8,1,17,2,0,2,2,0
2020-03-04,101,253,9,19,8,9,25,0,14,0,0,1,0,35,0,9,0,4,6,8,0,27,15,5,7,8,8,0,0,14,1
2020-03-05,32,56,50,61,22,4,31,118,19,2,0,8,3,80,17,10,5,6,7,31,6,1,0,11,0,53,5,0,9,0,2
2020-03-06,137,61,180,129,54,67,65,150,13,6,4,5,2,91,11,10,1,24,35,48,7,0,5,50,2,0,2,50,3,7,12
2020-03-07,145,126,305,3,24,58,2,96,14,11,0,2,3,70,1,2,22,2,2,37,11,1,4,27,2,46,13,24,0,15,8
2020-03-08,17,266,14,2,37,13,29,80,9,5,3,5,2,2,9,30,7,19,1,70,26,5,2,37,0,19,0,6,26,1,1
2020-03-09,27,140,13,0,45,0,40,37,29,17,0,5,1,28,22,22,29,3,15,54,0,4,11,7,16,29,0,3,-7,-5,10
2020-03-10,39,169,253,32,1,4,10,17,18,17,2,11,7,0,19,17,4,12,11,27,17,37,7,25,25,39,6,37,14,4,0
2020-03-11,53,256,32,45,63,9,27,170,19,10,0,1,0,5,1,29,27,6,22,31,7,17,8,9,6,34,4,23,15,18,11
2020-03-12,42,303,79,74,40,25,42,4,29,0,15,11,3,84,14,7,19,9,17,88,12,31,20,25,7,29,6,21,12,7,0
2020-03-13,42,303,192,6,38,21,12,110,33,4,0,0,0,71,15,97,25,9,20,48,10,15,15,25,8,110,2,46,0,12,0
2020-03-14,32,347,17,134,47,0,47,155,11,0,0,0,7,113,33,59,31,5,31,115,7,48,8,2,6,30,2,73,4,0,1
2020-03-15,84,251,72,67,41,25,22,126,9,7,1,0,6,43,0,36,18,27,32,0,11,32,13,52,18,143,6,36,18,7,6
2020-03-16,19,200,96,49,34,42,40,118,43,16,5,3,4,18,30,35,31,31,15,14,12,53,16,0,2,0,11,51,7,13,45
2020-03-17,29,273,59,116,33,30,26,75,31,6,0,2,4,45,19,78,34,2,25,47,6,25,14,35,7,63,11,49,12,19,3
2020-03-18,22,213,61,76,60,20,53,162,60,12,13,4,4,21,10,84,42,22,20,23,13,28,7,39,10,30,6,45,21,11,0
2020-03-19,31,137,58,61,16,9,47,108,21,5,15,3,8,73,16,58,26,11,26,47,3,22,23,37,8,50,18,69,5,14,21
2020-03-20,36,220,84,95,52,15,8,145,50,17,1,3,1,99,35,55,27,15,44,17,5,10,22,9,20,48,8,49,18,12,17
2020-03-21,20,232,28,55,0,6,59,101,22,0,12,2,0,57,6,72,14,7,35,0,5,31,27,34,18,57,5,52,0,8,1
2020-03-22,17,249,36,60,0,10,29,87,26,2,0,2,0,38,19,57,28,16,28,36,7,22,19,33,17,42,15,84,15,8,26
Total,1178,5098,1700,1177,645,391,669,1979,505,148,73,68,55,1191,289,813,395,238,394,882,175,444,243,476,183,858,134,725,178,169,165
